{INFO} 2021-01-07 10:40:39,752 Enter username: 
{INFO} 2021-01-07 10:40:42,176 Enter password: 
{INFO} 2021-01-07 10:40:44,030 Enter phone number: 
{INFO} 2021-01-07 10:40:49,018 Enter email: 
{TRACE} 2021-01-07 10:40:54,281 User Created!
{TRACE} 2021-01-07 10:40:54,325 User: [username: aja password: **** phone: 9196657234 email: aj@demo.com]
{TRACE} 2021-01-07 10:40:54,362 User: [username: aja password: **** phone: 9196657234 email: aj@demo.com]
{INFO} 2021-01-07 10:40:58,604 Enter username: 
{INFO} 2021-01-07 10:41:23,527 Enter password: 
{INFO} 2021-01-07 10:41:26,553 Enter phone number: 
{INFO} 2021-01-07 10:41:30,063 Enter email: 
{TRACE} 2021-01-07 10:41:33,997 User Created!
{TRACE} 2021-01-07 10:41:34,053 User: [username: aja password: **** phone: 9196657234 email: aj@demo.com]
{TRACE} 2021-01-07 10:41:34,090 User: [username: aja password: **** phone: 9196657234 email: aj@demo.com]
